????+????,
??????,????????/GPa
1.9382,6.55E-04
1.94163,6.56E-04
1.94573,6.60E-04
1.94965,6.64E-04
1.95329,6.65E-04
1.95755,6.71E-04
1.96118,6.71E-04
1.9652,6.76E-04
1.96902,6.78E-04
1.97295,6.84E-04
1.97686,6.84E-04
1.98065,6.88E-04
1.98489,6.89E-04
1.98811,6.95E-04
1.99208,7.01E-04
1.99617,7.00E-04
2.00001,7.05E-04
2.00359,7.08E-04
2.00758,7.09E-04
2.01154,7.13E-04
2.0156,7.20E-04
2.01901,7.23E-04
2.02298,7.24E-04
2.0267,7.28E-04
2.03078,7.33E-04
2.03453,7.35E-04
2.03803,7.39E-04
2.04214,7.39E-04
2.04578,7.43E-04
2.04946,7.48E-04
2.05375,7.52E-04
2.05716,7.55E-04
2.06137,7.57E-04
2.06466,7.58E-04
2.06869,7.62E-04
2.0727,7.70E-04
2.07606,7.70E-04
2.0799,7.75E-04
2.08365,7.79E-04
2.08764,7.81E-04
2.09128,7.85E-04
2.09491,7.89E-04
2.09878,7.94E-04
2.10282,7.94E-04
2.1063,7.98E-04
2.11012,8.03E-04
2.11381,8.04E-04
2.11752,8.10E-04
2.12158,8.10E-04
2.12526,8.16E-04
2.12898,8.17E-04
2.13294,8.22E-04
2.13661,8.27E-04
2.14027,8.30E-04
2.14393,8.30E-04
2.14803,8.37E-04
2.15165,8.40E-04
2.15536,8.45E-04
2.15905,8.45E-04
2.16283,8.53E-04
2.16675,8.53E-04
2.17077,8.57E-04
2.17393,8.63E-04
2.17788,8.64E-04
2.18157,8.69E-04
2.1855,8.72E-04
2.18904,8.71E-04
2.19288,8.79E-04
2.1964,8.82E-04
2.2005,8.83E-04
2.2042,8.91E-04
2.20784,8.94E-04
2.21151,8.98E-04
2.21535,9.01E-04
2.21889,9.02E-04
2.22271,9.11E-04
2.22631,9.13E-04
2.23008,9.16E-04
2.2339,9.19E-04
2.2372,9.26E-04
2.2414,9.27E-04
2.24513,9.28E-04
2.24897,9.34E-04
2.2525,9.37E-04
2.25612,9.43E-04
2.25997,9.43E-04
2.26351,9.49E-04
2.26757,9.49E-04
2.27104,9.58E-04
2.27471,9.59E-04
2.27873,9.64E-04
2.28219,9.66E-04
2.28602,9.73E-04
2.28967,9.76E-04
2.29319,9.78E-04
2.29719,9.85E-04
2.3008,9.84E-04
2.30453,9.90E-04
2.30814,9.95E-04
2.31186,9.98E-04
2.31572,1.00E-03
2.31907,0.001
2.32305,0.00101
2.32674,0.00101
2.33045,0.00102
2.33401,0.00102
2.33762,0.00102
2.34148,0.00103
2.34535,0.00103
2.34876,0.00103
2.35263,0.00104
2.35622,0.00104
2.3601,0.00105
2.36364,0.00105
2.36713,0.00105
2.37094,0.00106
2.37453,0.00106
2.37836,0.00107
2.38174,0.00107
2.38559,0.00107
2.38925,0.00108
2.39283,0.00108
2.39666,0.00109
2.40043,0.00109
2.4038,0.00109
2.40728,0.0011
2.41105,0.0011
2.41462,0.0011
2.41839,0.00111
2.42214,0.00111
2.42571,0.00112
2.42922,0.00112
2.43323,0.00112
2.43692,0.00113
2.44051,0.00113
2.44446,0.00113
2.44801,0.00114
2.45217,0.00114
2.45551,0.00115
2.4591,0.00115
2.46301,0.00115
2.46625,0.00116
2.47003,0.00116
2.47361,0.00117
2.47716,0.00117
2.48121,0.00117
2.48476,0.00118
2.48865,0.00118
2.4921,0.00119
2.49566,0.00119
2.49943,0.00119
2.50302,0.0012
2.50676,0.0012
2.51036,0.0012
2.51394,0.00121
2.51771,0.00121
2.52134,0.00122
2.52499,0.00122
2.52871,0.00123
2.53218,0.00123
2.53596,0.00123
2.53954,0.00124
2.54337,0.00124
2.54689,0.00125
2.55068,0.00125
2.55437,0.00126
2.55806,0.00126
2.56171,0.00126
2.56545,0.00127
2.56917,0.00127
2.57249,0.00127
2.57645,0.00128
2.58023,0.00128
2.5839,0.00129
2.58747,0.00129
2.59118,0.0013
2.59472,0.0013
2.59851,0.0013
2.60219,0.00131
2.60574,0.00131
2.6094,0.00131
2.61309,0.00132
2.61669,0.00132
2.62045,0.00133
2.62427,0.00133
2.62797,0.00134
2.63161,0.00134
2.63504,0.00134
2.63898,0.00135
2.64254,0.00135
2.64607,0.00136
2.64962,0.00136
2.65343,0.00136
2.65714,0.00137
2.66093,0.00137
2.66461,0.00138
2.6682,0.00138
2.67216,0.00139
2.67575,0.00139
2.67946,0.00139
2.68327,0.0014
2.68688,0.0014
2.69065,0.0014
2.69426,0.00141
2.69794,0.00141
2.70172,0.00142
2.7053,0.00142
2.70908,0.00143
2.71286,0.00143
2.71658,0.00143
2.72038,0.00144
2.72417,0.00144
2.72803,0.00144
2.73176,0.00145
2.73538,0.00145
2.73905,0.00146
2.74266,0.00146
2.74632,0.00146
2.75012,0.00147
2.75382,0.00147
2.75761,0.00148
2.76139,0.00148
2.76511,0.00149
2.769,0.00149
2.77262,0.0015
2.77644,0.0015
2.78012,0.0015
2.78374,0.00151
2.78765,0.00151
2.79143,0.00152
2.79506,0.00152
2.7988,0.00152
2.80248,0.00153
2.80606,0.00153
2.81007,0.00153
2.81373,0.00154
2.81763,0.00155
2.82133,0.00155
2.82502,0.00155
2.82879,0.00155
2.83274,0.00156
2.8364,0.00156
2.84023,0.00157
2.84399,0.00157
2.84752,0.00158
2.85145,0.00158
2.85528,0.00159
2.85895,0.00159
2.86276,0.00159
2.86629,0.0016
2.87034,0.0016
2.8741,0.00161
2.87782,0.00161
2.88153,0.00161
2.88525,0.00162
2.88915,0.00162
2.89287,0.00163
2.89647,0.00163
2.90016,0.00163
2.904,0.00164
2.90779,0.00164
2.91151,0.00165
2.91516,0.00165
2.91929,0.00165
2.92287,0.00166
2.92687,0.00166
2.93051,0.00167
2.93422,0.00167
2.93799,0.00168
2.94175,0.00168
2.94589,0.00169
2.94942,0.00169
2.95332,0.0017
2.95713,0.0017
2.9608,0.0017
2.96467,0.00171
2.96855,0.00171
2.97243,0.00171
2.9761,0.00172
2.97989,0.00172
2.98379,0.00172
2.98749,0.00173
2.99144,0.00173
2.9951,0.00174
2.99896,0.00174
3.00269,0.00175
3.00664,0.00175
3.01034,0.00176
3.01405,0.00176
3.018,0.00176
3.02173,0.00177
3.02563,0.00177
