"File Number","u","v","x_c","y_c","u_c","v_c","exx","eyy","exy","e1","e2","gamma","e_vonmises"
43,5.15402677031,1.73484241834,-10.4875862401,5.07326325018,0.219728865687,-0.0739606084301,9.41468565816e-06,-0.0001116741168,3.31297829802e-06,0.000308623526974,-0.000410882958173,0.00203925060173,0.000684585774034
44,5.30703928199,1.73604472441,-10.4875862401,5.07326325018,0.22625216514,-0.0740118612702,-3.34372079404e-06,-0.000119947476375,-3.54619076944e-06,0.000270380240915,-0.000393671438243,0.0144500423242,0.00063536929696
45,5.48093043273,1.75145614415,-10.4875862401,5.07326325018,0.233665566181,-0.0746688883383,3.31982801035e-05,-0.000126005106169,2.2103928579e-05,0.000279892302927,-0.000372699128748,0.0500238622618,0.000625101817909
46,5.62545472171,1.72265947918,-10.4875862401,5.07326325018,0.239826997368,-0.0734412213295,3.75032726784e-05,-8.26986319877e-05,1.0379615343e-05,0.000319811199825,-0.000365006559255,0.00477558351749,0.000654249848532
47,5.79050656773,1.7476280294,-10.4875862401,5.07326325018,0.246863551559,-0.0745056912086,5.01949640568e-05,-0.000101338800897,2.3529185776e-05,0.000325897008228,-0.00037704084476,0.0406051734851,0.000681503154472
48,5.96825409519,1.76355666337,-10.4875862401,5.07326325018,0.254441379472,-0.0751847652951,4.35888531833e-05,-9.46625103283e-05,-1.57920843706e-06,0.000321244812623,-0.000372318469909,-0.00569788709934,0.000663071627497
49,6.13155248334,1.75444653694,-10.4875862401,5.07326325018,0.261403202113,-0.074796372739,6.14797399214e-05,-6.43353531811e-05,4.17041567367e-06,0.000344170670163,-0.000347026283137,-0.00299627293273,0.000659438916224
50,6.30205956905,1.75650777411,-10.4875862401,5.07326325018,0.268672339915,-0.0748842601793,8.6972533641e-05,-0.00010030250669,2.2425009075e-06,0.000330737740212,-0.00034406771294,0.0181558042099,0.000641839585009
51,6.47816580294,1.74882817771,-10.4875862401,5.07326325018,0.276180171392,-0.0745568564589,0.000121406500761,-9.95577152131e-05,-2.5795323584e-06,0.000345975750703,-0.000324126965286,-0.00545310540154,0.000643229891407
52,6.66651765978,1.74515916923,-10.4875862401,5.07326325018,0.284210071639,-0.0744004329695,0.000130702735763,-0.00011917613973,3.2337261357e-06,0.000350678993844,-0.000339152397876,0.0216145547382,0.000659322745003
53,6.84155863038,1.75791331925,-10.4875862401,5.07326325018,0.291672498074,-0.0749441852085,0.000130754305051,-0.000112535954477,1.03152362173e-05,0.000353222095677,-0.000335003745157,0.0618270601494,0.000658458763966
54,7.02506027071,1.77040526656,-10.4875862401,5.07326325018,0.299495627918,-0.0754767415244,0.000148196262472,-0.000101783732421,-5.58261177811e-06,0.000400582231752,-0.000354169701598,-0.0598924784543,0.00071840839871
55,7.20864768149,1.76477557884,-10.4875862401,5.07326325018,0.307322418272,-0.0752367358446,0.00016056274287,-9.55545550073e-05,9.35701628211e-07,0.000381551959608,-0.000316543771698,0.0170796475596,0.000669599211679
56,7.39232097917,1.76668091835,-10.4875862401,5.07326325018,0.315152845608,-0.0753179601123,0.000172661777263,-6.84025840346e-05,2.53481555972e-05,0.000386116895535,-0.000281857702743,0.0570379430662,0.000636021505948
57,7.57263534379,1.79293662585,-10.4875862401,5.07326325018,0.322840101888,-0.0764373083728,0.000193502629982,-0.000107270969198,2.57837902916e-05,0.000396831161305,-0.000310599500676,0.0451499409812,0.00067260433277
58,7.75698893053,1.79592257904,-10.4875862401,5.07326325018,0.330699556403,-0.076564604165,0.000207530823345,-7.1147546051e-05,2.66699019986e-06,0.00041750342304,-0.000281120145425,-0.00294491349976,0.000661054498427
59,7.91356317501,1.81731136408,-10.4875862401,5.07326325018,0.337374695962,-0.0774764604472,0.000228845808769,-6.51325406475e-05,1.67248654232e-05,0.00045673177644,-0.000293018508317,0.00069651611046,0.000712106362652
60,8.0766651607,1.85408530166,-10.4875862401,5.07326325018,0.344328147668,-0.0790442213443,0.000253676023004,-6.43353163405e-05,9.91623305082e-06,0.000460368810917,-0.000271028103922,0.0165999431275,0.000702378207862
61,8.25765663253,1.87557354971,-10.4875862401,5.07326325018,0.352044256647,-0.0799603242207,0.000237320538424,-9.78331260303e-05,2.57544172796e-05,0.000440584793195,-0.000301097380549,0.0521872696133,0.000701407003004
62,8.45572946613,1.88396722519,-10.4875862401,5.07326325018,0.360488589977,-0.0803181638664,0.000271357492567,-0.000106279764317,2.08271016483e-05,0.000443281682308,-0.000278203954017,0.0676609931372,0.000691423633016
63,8.61252437434,1.88373075662,-10.4875862401,5.07326325018,0.367173140973,-0.0803080895495,0.000294722998991,-0.000112789533969,2.17189136705e-06,0.000469207888315,-0.000287274423179,-0.0089867959027,0.000720927546976
64,8.77979279962,1.88971055285,-10.4875862401,5.07326325018,0.374304205884,-0.0805630188329,0.000309143120382,-0.000154152610069,7.44485083505e-06,0.000482508332297,-0.000327517821795,0.0107808256891,0.000766079260136
65,8.94478556283,1.90226165895,-10.4875862401,5.07326325018,0.381338250382,-0.08109809859,0.000299751683529,-0.000187127682924,-3.52034215922e-06,0.000451413741047,-0.000338789740511,-0.00256213712072,0.000745678148242
66,9.11995414986,1.91114853449,-10.4875862401,5.07326325018,0.388806115784,-0.0814769716649,0.000306364625019,-0.000113706892644,5.75745751406e-06,0.000493037690333,-0.000300379957692,-0.00563026328745,0.000760735395436
67,9.30517757125,1.91885978765,-10.4875862401,5.07326325018,0.396702656415,-0.0818057296678,0.000325064868375,-0.000132759624543,5.86493026e-06,0.000510930105412,-0.000318624861623,-0.00504798373606,0.000786233881087
68,9.49784202544,1.91364587293,-10.4875862401,5.07326325018,0.404916408332,-0.0815834417125,0.000341192673122,-6.44440241645e-05,2.94730630027e-05,0.000522203232073,-0.000245454583094,0.0299590662035,0.000737728064333
69,9.6664764125,1.9477271339,-10.4875862401,5.07326325018,0.41210570265,-0.0830364109502,0.000371276786404,-0.000157383191446,2.38781302024e-05,0.000506000542981,-0.00029210694846,0.0550148795886,0.000754288411965
70,9.85577303796,1.96430457896,-10.4875862401,5.07326325018,0.420175892456,-0.0837431424126,0.000393543070558,-0.000134527213302,1.93514481791e-05,0.000539097710436,-0.000280081852842,0.03508959395,0.000779009876701
71,10.0503268246,1.98070346399,-10.4875862401,5.07326325018,0.428470196236,-0.0844422627869,0.000389965993203,-0.000139056730551,-9.85595633879e-06,0.00055315871436,-0.000302249452041,0.0025325961534,0.000814931728539
72,10.2452622146,2.01197451203,-10.4875862401,5.07326325018,0.436780783555,-0.0857754328324,0.000378626229478,-0.000146826995608,-8.21700260156e-06,0.000528789716374,-0.000296990482401,-0.0610145858445,0.000792342445478
73,10.4222155666,2.02357872263,-10.4875862401,5.07326325018,0.444324740936,-0.0862701471245,0.000402906498397,-0.000121018876834,3.24054922893e-05,0.000559811056971,-0.000277923435775,0.0360606064667,0.000797115304678
