*DEFINE_TABLE
$#Lode Parameter vs. load curves
$     TBID
               0.340            4.45e-01
               0.367            4.40e-01
               0.394            4.36e-01
               0.421            4.31e-01
               0.449            4.27e-01
               0.476            4.22e-01
               0.503            4.18e-01
               0.530            4.14e-01
               0.557            4.10e-01
               0.584            4.06e-01
               0.612            4.02e-01
               0.639            3.98e-01
               0.666            3.94e-01
*DEFINE_CURVE
$#Triaxiality vs. Failure Plastic Strain
$     LCID      SIDR      SCLA      SCLO      OFFA      OFFO    DATTYP          
         5         0      1.00      1.00      0.00      0.00         0         0
$                 A1                  O1
              -0.666            8.44e-01
              -0.639            8.20e-01
              -0.612            7.98e-01
              -0.584            7.76e-01
              -0.557            7.57e-01
              -0.530            7.38e-01
              -0.503            7.21e-01
              -0.476            7.05e-01
              -0.449            6.89e-01
              -0.421            6.74e-01
              -0.394            6.61e-01
              -0.367            6.47e-01
              -0.340            6.35e-01
              -0.313            6.23e-01
              -0.285            6.12e-01
              -0.258            6.01e-01
              -0.231            5.90e-01
              -0.204            5.81e-01
              -0.177            5.71e-01
              -0.150            5.62e-01
              -0.122            5.53e-01
              -0.095            5.45e-01
              -0.068            5.37e-01
              -0.041            5.29e-01
              -0.014            5.21e-01
               0.014            5.14e-01
               0.041            5.07e-01
               0.068            5.00e-01
               0.095            4.94e-01
               0.122            4.87e-01
               0.150            4.81e-01
               0.177            4.75e-01
               0.204            4.70e-01
               0.231            4.64e-01
               0.258            4.59e-01
               0.285            4.53e-01
               0.313            4.48e-01
               0.340            4.43e-01
               0.367            4.39e-01
               0.394            4.34e-01
               0.421            4.29e-01
               0.449            4.25e-01
               0.476            4.21e-01
               0.503            4.16e-01
               0.530            4.12e-01
               0.557            4.08e-01
               0.584            4.04e-01
               0.612            4.00e-01
               0.639            3.97e-01
               0.666            3.93e-01
*DEFINE_CURVE
$#Triaxiality vs. Failure Plastic Strain
$     LCID      SIDR      SCLA      SCLO      OFFA      OFFO    DATTYP          
         6         0      1.00      1.00      0.00      0.00         0         0
$                 A1                  O1
              -0.666            8.35e-01
              -0.639            8.12e-01
              -0.612            7.89e-01
              -0.584            7.69e-01
              -0.557            7.50e-01
              -0.530            7.32e-01
              -0.503            7.15e-01
              -0.476            6.99e-01
              -0.449            6.83e-01
              -0.421            6.69e-01
              -0.394            6.56e-01
              -0.367            6.43e-01
              -0.340            6.30e-01
              -0.313            6.19e-01
              -0.285            6.08e-01
              -0.258            5.97e-01
              -0.231            5.87e-01
              -0.204            5.77e-01
              -0.177            5.68e-01
              -0.150            5.59e-01
              -0.122            5.50e-01
              -0.095            5.42e-01
              -0.068            5.34e-01
              -0.041            5.26e-01
              -0.014            5.19e-01
               0.014            5.11e-01
               0.041            5.04e-01
               0.068            4.98e-01
               0.095            4.91e-01
               0.122            4.85e-01
               0.150            4.79e-01
               0.177            4.73e-01
               0.204            4.68e-01
               0.231            4.62e-01
               0.258            4.57e-01
               0.285            4.51e-01
               0.313            4.46e-01
               0.340            4.42e-01
               0.367            4.37e-01
               0.394            4.32e-01
               0.421            4.28e-01
               0.449            4.23e-01
               0.476            4.19e-01
               0.503            4.15e-01
               0.530            4.11e-01
               0.557            4.07e-01
               0.584            4.03e-01
               0.612            3.99e-01
               0.639            3.95e-01
               0.666            3.92e-01
*DEFINE_CURVE
$#Triaxiality vs. Failure Plastic Strain
$     LCID      SIDR      SCLA      SCLO      OFFA      OFFO    DATTYP          
         7         0      1.00      1.00      0.00      0.00         0         0
$                 A1                  O1
              -0.666            8.26e-01
              -0.639            8.03e-01
              -0.612            7.82e-01
              -0.584            7.62e-01
              -0.557            7.43e-01
              -0.530            7.25e-01
              -0.503            7.09e-01
              -0.476            6.93e-01
              -0.449            6.78e-01
              -0.421            6.64e-01
              -0.394            6.51e-01
              -0.367            6.38e-01
              -0.340            6.26e-01
              -0.313            6.15e-01
              -0.285            6.04e-01
              -0.258            5.93e-01
              -0.231            5.83e-01
              -0.204            5.73e-01
              -0.177            5.64e-01
              -0.150            5.55e-01
              -0.122            5.47e-01
              -0.095            5.39e-01
              -0.068            5.31e-01
              -0.041            5.23e-01
              -0.014            5.16e-01
               0.014            5.09e-01
               0.041            5.02e-01
               0.068            4.95e-01
               0.095            4.89e-01
               0.122            4.83e-01
               0.150            4.77e-01
               0.177            4.71e-01
               0.204            4.65e-01
               0.231            4.60e-01
               0.258            4.55e-01
               0.285            4.50e-01
               0.313            4.45e-01
               0.340            4.40e-01
               0.367            4.35e-01
               0.394            4.30e-01
               0.421            4.26e-01
               0.449            4.22e-01
               0.476            4.17e-01
               0.503            4.13e-01
               0.530            4.09e-01
               0.557            4.05e-01
               0.584            4.01e-01
               0.612            3.98e-01
               0.639            3.94e-01
               0.666            3.90e-01
*DEFINE_CURVE
$#Triaxiality vs. Failure Plastic Strain
$     LCID      SIDR      SCLA      SCLO      OFFA      OFFO    DATTYP          
         8         0      1.00      1.00      0.00      0.00         0         0
$                 A1                  O1
              -0.666            8.18e-01
              -0.639            7.95e-01
              -0.612            7.75e-01
              -0.584            7.55e-01
              -0.557            7.37e-01
              -0.530            7.19e-01
              -0.503            7.03e-01
              -0.476            6.88e-01
              -0.449            6.73e-01
              -0.421            6.59e-01
              -0.394            6.46e-01
              -0.367            6.34e-01
              -0.340            6.22e-01
              -0.313            6.11e-01
              -0.285            6.00e-01
              -0.258            5.89e-01
              -0.231            5.80e-01
              -0.204            5.70e-01
              -0.177            5.61e-01
              -0.150            5.52e-01
              -0.122            5.44e-01
              -0.095            5.36e-01
              -0.068            5.28e-01
              -0.041            5.21e-01
              -0.014            5.13e-01
               0.014            5.06e-01
               0.041            5.00e-01
               0.068            4.93e-01
               0.095            4.87e-01
               0.122            4.81e-01
               0.150            4.75e-01
               0.177            4.69e-01
               0.204            4.64e-01
               0.231            4.58e-01
               0.258            4.53e-01
               0.285            4.48e-01
               0.313            4.43e-01
               0.340            4.38e-01
               0.367            4.33e-01
               0.394            4.29e-01
               0.421            4.24e-01
               0.449            4.20e-01
               0.476            4.16e-01
               0.503            4.12e-01
               0.530            4.08e-01
               0.557            4.04e-01
               0.584            4.00e-01
               0.612            3.96e-01
               0.639            3.93e-01
               0.666            3.89e-01
*DEFINE_CURVE
$#Triaxiality vs. Failure Plastic Strain
$     LCID      SIDR      SCLA      SCLO      OFFA      OFFO    DATTYP          
         9         0      1.00      1.00      0.00      0.00         0         0
$                 A1                  O1
              -0.666            8.10e-01
              -0.639            7.88e-01
              -0.612            7.68e-01
              -0.584            7.48e-01
              -0.557            7.30e-01
              -0.530            7.14e-01
              -0.503            6.98e-01
              -0.476            6.83e-01
              -0.449            6.68e-01
              -0.421            6.55e-01
              -0.394            6.42e-01
              -0.367            6.30e-01
              -0.340            6.18e-01
              -0.313            6.07e-01
              -0.285            5.96e-01
              -0.258            5.86e-01
              -0.231            5.76e-01
              -0.204            5.67e-01
              -0.177            5.58e-01
              -0.150            5.49e-01
              -0.122            5.41e-01
              -0.095            5.33e-01
              -0.068            5.25e-01
              -0.041            5.18e-01
              -0.014            5.11e-01
               0.014            5.04e-01
               0.041            4.97e-01
               0.068            4.91e-01
               0.095            4.85e-01
               0.122            4.79e-01
               0.150            4.73e-01
               0.177            4.67e-01
               0.204            4.62e-01
               0.231            4.56e-01
               0.258            4.51e-01
               0.285            4.46e-01
               0.313            4.41e-01
               0.340            4.36e-01
               0.367            4.32e-01
               0.394            4.27e-01
               0.421            4.23e-01
               0.449            4.19e-01
               0.476            4.14e-01
               0.503            4.10e-01
               0.530            4.06e-01
               0.557            4.03e-01
               0.584            3.99e-01
               0.612            3.95e-01
               0.639            3.92e-01
               0.666            3.88e-01
*DEFINE_CURVE
$#Triaxiality vs. Failure Plastic Strain
$     LCID      SIDR      SCLA      SCLO      OFFA      OFFO    DATTYP          
        10         0      1.00      1.00      0.00      0.00         0         0
$                 A1                  O1
              -0.666            8.02e-01
              -0.639            7.81e-01
              -0.612            7.61e-01
              -0.584            7.42e-01
              -0.557            7.25e-01
              -0.530            7.08e-01
              -0.503            6.92e-01
              -0.476            6.78e-01
              -0.449            6.64e-01
              -0.421            6.50e-01
              -0.394            6.38e-01
              -0.367            6.26e-01
              -0.340            6.14e-01
              -0.313            6.03e-01
              -0.285            5.93e-01
              -0.258            5.83e-01
              -0.231            5.73e-01
              -0.204            5.64e-01
              -0.177            5.55e-01
              -0.150            5.47e-01
              -0.122            5.38e-01
              -0.095            5.31e-01
              -0.068            5.23e-01
              -0.041            5.16e-01
              -0.014            5.09e-01
               0.014            5.02e-01
               0.041            4.95e-01
               0.068            4.89e-01
               0.095            4.83e-01
               0.122            4.77e-01
               0.150            4.71e-01
               0.177            4.65e-01
               0.204            4.60e-01
               0.231            4.55e-01
               0.258            4.49e-01
               0.285            4.44e-01
               0.313            4.40e-01
               0.340            4.35e-01
               0.367            4.30e-01
               0.394            4.26e-01
