*DEFINE_TABLE
$#Lode Parameter vs. load curves
$     TBID
              -0.285            5.68e-01
              -0.258            5.59e-01
              -0.231            5.50e-01
              -0.204            5.42e-01
              -0.177            5.34e-01
              -0.150            5.26e-01
              -0.122            5.19e-01
              -0.095            5.11e-01
              -0.068            5.05e-01
              -0.041            4.98e-01
              -0.014            4.91e-01
               0.014            4.85e-01
               0.041            4.79e-01
               0.068            4.73e-01
               0.095            4.68e-01
               0.122            4.62e-01
               0.150            4.57e-01
               0.177            4.52e-01
               0.204            4.46e-01
               0.231            4.42e-01
               0.258            4.37e-01
               0.285            4.32e-01
               0.313            4.28e-01
               0.340            4.23e-01
               0.367            4.19e-01
               0.394            4.15e-01
               0.421            4.11e-01
               0.449            4.07e-01
               0.476            4.03e-01
               0.503            3.99e-01
               0.530            3.95e-01
               0.557            3.92e-01
               0.584            3.88e-01
               0.612            3.85e-01
               0.639            3.81e-01
               0.666            3.78e-01
*DEFINE_CURVE
$#Triaxiality vs. Failure Plastic Strain
$     LCID      SIDR      SCLA      SCLO      OFFA      OFFO    DATTYP          
        20         0      1.00      1.00      0.00      0.00         0         0
$                 A1                  O1
              -0.666            7.46e-01
              -0.639            7.28e-01
              -0.612            7.11e-01
              -0.584            6.95e-01
              -0.557            6.80e-01
              -0.530            6.66e-01
              -0.503            6.53e-01
              -0.476            6.40e-01
              -0.449            6.28e-01
              -0.421            6.16e-01
              -0.394            6.05e-01
              -0.367            5.95e-01
              -0.340            5.84e-01
              -0.313            5.75e-01
              -0.285            5.65e-01
              -0.258            5.57e-01
              -0.231            5.48e-01
              -0.204            5.40e-01
              -0.177            5.32e-01
              -0.150            5.24e-01
              -0.122            5.17e-01
              -0.095            5.10e-01
              -0.068            5.03e-01
              -0.041            4.96e-01
              -0.014            4.90e-01
               0.014            4.84e-01
               0.041            4.78e-01
               0.068            4.72e-01
               0.095            4.66e-01
               0.122            4.61e-01
               0.150            4.55e-01
               0.177            4.50e-01
               0.204            4.45e-01
               0.231            4.40e-01
               0.258            4.36e-01
               0.285            4.31e-01
               0.313            4.27e-01
               0.340            4.22e-01
               0.367            4.18e-01
               0.394            4.14e-01
               0.421            4.10e-01
               0.449            4.06e-01
               0.476            4.02e-01
               0.503            3.98e-01
               0.530            3.95e-01
               0.557            3.91e-01
               0.584            3.87e-01
               0.612            3.84e-01
               0.639            3.81e-01
               0.666            3.77e-01
*DEFINE_CURVE
$#Triaxiality vs. Failure Plastic Strain
$     LCID      SIDR      SCLA      SCLO      OFFA      OFFO    DATTYP          
        21         0      1.00      1.00      0.00      0.00         0         0
$                 A1                  O1
              -0.666            7.41e-01
              -0.639            7.24e-01
              -0.612            7.07e-01
              -0.584            6.92e-01
              -0.557            6.77e-01
              -0.530            6.63e-01
              -0.503            6.50e-01
              -0.476            6.37e-01
              -0.449            6.25e-01
              -0.421            6.14e-01
              -0.394            6.03e-01
              -0.367            5.92e-01
              -0.340            5.82e-01
              -0.313            5.73e-01
              -0.285            5.63e-01
              -0.258            5.55e-01
              -0.231            5.46e-01
              -0.204            5.38e-01
              -0.177            5.30e-01
              -0.150            5.23e-01
              -0.122            5.15e-01
              -0.095            5.08e-01
              -0.068            5.01e-01
              -0.041            4.95e-01
              -0.014            4.89e-01
               0.014            4.82e-01
               0.041            4.76e-01
               0.068            4.71e-01
               0.095            4.65e-01
               0.122            4.60e-01
               0.150            4.54e-01
               0.177            4.49e-01
               0.204            4.44e-01
               0.231            4.39e-01
               0.258            4.35e-01
               0.285            4.30e-01
               0.313            4.26e-01
               0.340            4.21e-01
               0.367            4.17e-01
               0.394            4.13e-01
               0.421            4.09e-01
               0.449            4.05e-01
               0.476            4.01e-01
               0.503            3.97e-01
               0.530            3.94e-01
               0.557            3.90e-01
               0.584            3.87e-01
               0.612            3.83e-01
               0.639            3.80e-01
               0.666            3.77e-01
*DEFINE_CURVE
$#Triaxiality vs. Failure Plastic Strain
$     LCID      SIDR      SCLA      SCLO      OFFA      OFFO    DATTYP          
        22         0      1.00      1.00      0.00      0.00         0         0
$                 A1                  O1
              -0.666            7.37e-01
              -0.639            7.20e-01
              -0.612            7.04e-01
              -0.584            6.88e-01
              -0.557            6.74e-01
              -0.530            6.60e-01
              -0.503            6.47e-01
              -0.476            6.34e-01
              -0.449            6.23e-01
              -0.421            6.11e-01
              -0.394            6.00e-01
              -0.367            5.90e-01
              -0.340            5.80e-01
              -0.313            5.71e-01
              -0.285            5.62e-01
              -0.258            5.53e-01
              -0.231            5.44e-01
              -0.204            5.36e-01
              -0.177            5.28e-01
              -0.150            5.21e-01
              -0.122            5.14e-01
              -0.095            5.07e-01
              -0.068            5.00e-01
              -0.041            4.93e-01
              -0.014            4.87e-01
               0.014            4.81e-01
               0.041            4.75e-01
               0.068            4.69e-01
               0.095            4.64e-01
               0.122            4.58e-01
               0.150            4.53e-01
               0.177            4.48e-01
               0.204            4.43e-01
               0.231            4.38e-01
               0.258            4.34e-01
               0.285            4.29e-01
               0.313            4.25e-01
               0.340            4.20e-01
               0.367            4.16e-01
               0.394            4.12e-01
               0.421            4.08e-01
               0.449            4.04e-01
               0.476            4.00e-01
               0.503            3.97e-01
               0.530            3.93e-01
               0.557            3.89e-01
               0.584            3.86e-01
               0.612            3.83e-01
               0.639            3.79e-01
               0.666            3.76e-01
*DEFINE_CURVE
$#Triaxiality vs. Failure Plastic Strain
$     LCID      SIDR      SCLA      SCLO      OFFA      OFFO    DATTYP          
        23         0      1.00      1.00      0.00      0.00         0         0
$                 A1                  O1
              -0.666            7.34e-01
              -0.639            7.17e-01
              -0.612            7.01e-01
              -0.584            6.85e-01
              -0.557            6.71e-01
              -0.530            6.57e-01
              -0.503            6.44e-01
              -0.476            6.32e-01
              -0.449            6.20e-01
              -0.421            6.09e-01
              -0.394            5.98e-01
              -0.367            5.88e-01
              -0.340            5.78e-01
              -0.313            5.69e-01
              -0.285            5.60e-01
              -0.258            5.51e-01
              -0.231            5.43e-01
              -0.204            5.35e-01
              -0.177            5.27e-01
              -0.150            5.19e-01
              -0.122            5.12e-01
              -0.095            5.05e-01
              -0.068            4.99e-01
              -0.041            4.92e-01
              -0.014            4.86e-01
               0.014            4.80e-01
               0.041            4.74e-01
               0.068            4.68e-01
               0.095            4.63e-01
               0.122            4.57e-01
               0.150            4.52e-01
               0.177            4.47e-01
               0.204            4.42e-01
               0.231            4.37e-01
               0.258            4.33e-01
               0.285            4.28e-01
               0.313            4.24e-01
               0.340            4.19e-01
               0.367            4.15e-01
               0.394            4.11e-01
               0.421            4.07e-01
               0.449            4.03e-01
               0.476            4.00e-01
               0.503            3.96e-01
               0.530            3.92e-01
               0.557            3.89e-01
               0.584            3.85e-01
               0.612            3.82e-01
               0.639            3.79e-01
               0.666            3.75e-01
*DEFINE_CURVE
$#Triaxiality vs. Failure Plastic Strain
$     LCID      SIDR      SCLA      SCLO      OFFA      OFFO    DATTYP          
        24         0      1.00      1.00      0.00      0.00         0         0
$                 A1                  O1
              -0.666            7.30e-01
              -0.639            7.13e-01
              -0.612            6.98e-01
              -0.584            6.82e-01
              -0.557            6.68e-01
              -0.530            6.55e-01
              -0.503            6.42e-01
              -0.476            6.30e-01
              -0.449            6.18e-01
              -0.421            6.07e-01
              -0.394            5.96e-01
              -0.367            5.86e-01
              -0.340            5.76e-01
              -0.313            5.67e-01
              -0.285            5.58e-01
              -0.258            5.49e-01
              -0.231            5.41e-01
              -0.204            5.33e-01
              -0.177            5.25e-01
              -0.150            5.18e-01
              -0.122            5.11e-01
              -0.095            5.04e-01
              -0.068            4.97e-01
              -0.041            4.91e-01
              -0.014            4.85e-01
               0.014            4.79e-01
               0.041            4.73e-01
               0.068            4.67e-01
               0.095            4.62e-01
               0.122            4.56e-01
               0.150            4.51e-01
               0.177            4.46e-01
               0.204            4.41e-01
               0.231            4.36e-01
               0.258            4.32e-01
               0.285            4.27e-01
               0.313            4.23e-01
               0.340            4.19e-01
               0.367            4.14e-01
               0.394            4.10e-01
               0.421            4.06e-01
               0.449            4.03e-01
               0.476            3.99e-01
               0.503            3.95e-01
               0.530            3.92e-01
               0.557            3.88e-01
               0.584            3.85e-01
               0.612            3.81e-01
               0.639            3.78e-01
               0.666            3.75e-01
*DEFINE_CURVE
$#Triaxiality vs. Failure Plastic Strain
$     LCID      SIDR      SCLA      SCLO      OFFA      OFFO    DATTYP          
        25         0      1.00      1.00      0.00      0.00         0         0
$                 A1                  O1
              -0.666            7.27e-01
              -0.639            7.10e-01
              -0.612            6.95e-01
              -0.584            6.80e-01
              -0.557            6.66e-01
              -0.530            6.52e-01
              -0.503            6.39e-01
              -0.476            6.27e-01
              -0.449            6.16e-01
              -0.421            6.05e-01
              -0.394            5.94e-01
              -0.367            5.84e-01
              -0.340            5.74e-01
              -0.313            5.65e-01
              -0.285            5.56e-01
              -0.258            5.48e-01
              -0.231            5.40e-01
              -0.204            5.32e-01
              -0.177            5.24e-01
              -0.150            5.17e-01
              -0.122            5.10e-01
              -0.095            5.03e-01
              -0.068            4.96e-01
              -0.041            4.90e-01
              -0.014            4.84e-01
               0.014            4.78e-01
               0.041            4.72e-01
               0.068            4.66e-01
               0.095            4.61e-01
               0.122            4.55e-01
               0.150            4.50e-01
               0.177            4.45e-01
               0.204            4.40e-01
               0.231            4.36e-01
               0.258            4.31e-01
               0.285            4.26e-01
               0.313            4.22e-01
               0.340            4.18e-01
               0.367            4.14e-01
               0.394            4.10e-01
               0.421            4.06e-01
               0.449            4.02e-01
               0.476            3.98e-01
               0.503            3.94e-01
               0.530            3.91e-01
               0.557            3.87e-01
               0.584            3.84e-01
               0.612            3.81e-01
               0.639            3.77e-01
               0.666            3.74e-01
*DEFINE_CURVE
$#Triaxiality vs. Failure Plastic Strain
$     LCID      SIDR      SCLA      SCLO      OFFA      OFFO    DATTYP          
        26         0      1.00      1.00      0.00      0.00         0         0
$                 A1                  O1
              -0.666            7.24e-01
              -0.639            7.08e-01
              -0.612            6.92e-01
              -0.584            6.77e-01
              -0.557            6.63e-01
              -0.530            6.50e-01
              -0.503            6.37e-01
              -0.476            6.25e-01
              -0.449            6.14e-01
              -0.421            6.03e-01
              -0.394            5.92e-01
              -0.367            5.82e-01
              -0.340            5.73e-01
              -0.313            5.64e-01
              -0.285            5.55e-01
              -0.258            5.46e-01
              -0.231            5.38e-01
              -0.204            5.30e-01
              -0.177            5.23e-01
              -0.150            5.15e-01
              -0.122            5.08e-01
              -0.095            5.02e-01
              -0.068            4.95e-01
              -0.041            4.89e-01
              -0.014            4.82e-01
               0.014            4.77e-01
               0.041            4.71e-01
               0.068            4.65e-01
               0.095            4.60e-01
               0.122            4.54e-01
               0.150            4.49e-01
               0.177            4.44e-01
               0.204            4.39e-01
               0.231            4.35e-01
               0.258            4.30e-01
               0.285            4.26e-01
               0.313            4.21e-01
               0.340            4.17e-01
               0.367            4.13e-01
               0.394            4.09e-01
               0.421            4.05e-01
               0.449            4.01e-01
               0.476            3.97e-01
               0.503            3.94e-01
               0.530            3.90e-01
               0.557            3.87e-01
               0.584            3.83e-01
               0.612            3.80e-01
               0.639            3.77e-01
               0.666            3.74e-01
*DEFINE_CURVE
$#Triaxiality vs. Failure Plastic Strain
$     LCID      SIDR      SCLA      SCLO      OFFA      OFFO    DATTYP          
        27         0      1.00      1.00      0.00      0.00         0         0
$                 A1                  O1
              -0.666            7.21e-01
              -0.639            7.05e-01
              -0.612            6.90e-01
              -0.584            6.75e-01
              -0.557            6.61e-01
              -0.530            6.48e-01
              -0.503            6.35e-01
              -0.476            6.23e-01
              -0.449            6.12e-01
              -0.421            6.01e-01
              -0.394            5.91e-01
              -0.367            5.81e-01
              -0.340            5.71e-01
              -0.313            5.62e-01
              -0.285            5.53e-01
              -0.258            5.45e-01
              -0.231            5.37e-01
              -0.204            5.29e-01
              -0.177            5.22e-01
              -0.150            5.14e-01
              -0.122            5.07e-01
              -0.095            5.01e-01
              -0.068            4.94e-01
              -0.041            4.88e-01
              -0.014            4.81e-01
               0.014            4.76e-01
               0.041            4.70e-01
               0.068            4.64e-01
               0.095            4.59e-01
               0.122            4.54e-01
               0.150            4.48e-01
               0.177            4.44e-01
               0.204            4.39e-01
               0.231            4.34e-01
               0.258            4.29e-01
               0.285            4.25e-01
               0.313            4.21e-01
               0.340            4.16e-01
               0.367            4.12e-01
               0.394            4.08e-01
               0.421            4.04e-01
               0.449            4.01e-01
               0.476            3.97e-01
               0.503            3.93e-01
               0.530            3.90e-01
               0.557            3.86e-01
               0.584            3.83e-01
               0.612            3.79e-01
               0.639            3.76e-01
               0.666            3.73e-01
*DEFINE_CURVE
$#Triaxiality vs. Failure Plastic Strain
$     LCID      SIDR      SCLA      SCLO      OFFA      OFFO    DATTYP          
        28         0      1.00      1.00      0.00      0.00         0         0
$                 A1                  O1
              -0.666            7.19e-01
              -0.639            7.03e-01
              -0.612            6.87e-01
              -0.584            6.73e-01
              -0.557            6.59e-01
              -0.530            6.46e-01
              -0.503            6.33e-01
              -0.476            6.22e-01
              -0.449            6.10e-01
              -0.421            6.00e-01
              -0.394            5.89e-01
              -0.367            5.79e-01
              -0.340            5.70e-01
              -0.313            5.61e-01
              -0.285            5.52e-01
              -0.258            5.44e-01
              -0.231            5.36e-01
              -0.204            5.28e-01
              -0.177            5.20e-01
              -0.150            5.13e-01
              -0.122            5.06e-01
              -0.095            4.99e-01
              -0.068            4.93e-01
              -0.041            4.87e-01
              -0.014            4.81e-01
               0.014            4.75e-01
               0.041            4.69e-01
               0.068            4.63e-01
               0.095            4.58e-01
               0.122            4.53e-01
               0.150            4.48e-01
               0.177            4.43e-01
               0.204            4.38e-01
               0.231            4.33e-01
               0.258            4.29e-01
               0.285            4.24e-01
               0.313            4.20e-01
               0.340            4.16e-01
               0.367            4.12e-01
               0.394            4.08e-01
               0.421            4.04e-01
               0.449            4.00e-01
               0.476            3.96e-01
               0.503            3.93e-01
               0.530            3.89e-01
               0.557            3.86e-01
               0.584            3.82e-01
               0.612            3.79e-01
               0.639            3.76e-01
               0.666            3.73e-01
*DEFINE_CURVE
$#Triaxiality vs. Failure Plastic Strain
$     LCID      SIDR      SCLA      SCLO      OFFA      OFFO    DATTYP          
        29         0      1.00      1.00      0.00      0.00         0         0
$                 A1                  O1
              -0.666            7.16e-01
              -0.639            7.00e-01
              -0.612            6.85e-01
              -0.584            6.71e-01
              -0.557            6.57e-01
              -0.530            6.44e-01
              -0.503            6.32e-01
              -0.476            6.20e-01
              -0.449            6.09e-01
              -0.421            5.98e-01
              -0.394            5.88e-01
              -0.367            5.78e-01
              -0.340            5.69e-01
              -0.313            5.60e-01
              -0.285            5.51e-01
              -0.258            5.43e-01
              -0.231            5.35e-01
              -0.204            5.27e-01
              -0.177            5.19e-01
              -0.150            5.12e-01
              -0.122            5.05e-01
              -0.095            4.99e-01
              -0.068            4.92e-01
              -0.041            4.86e-01
              -0.014            4.80e-01
               0.014            4.74e-01
               0.041            4.68e-01
               0.068            4.63e-01
               0.095            4.57e-01
               0.122            4.52e-01
               0.150            4.47e-01
               0.177            4.42e-01
               0.204            4.37e-01
               0.231            4.33e-01
               0.258            4.28e-01
               0.285            4.24e-01
               0.313            4.19e-01
               0.340            4.15e-01
               0.367            4.11e-01
               0.394            4.07e-01
               0.421            4.03e-01
               0.449            3.99e-01
               0.476            3.96e-01
               0.503            3.92e-01
               0.530            3.89e-01
               0.557            3.85e-01
               0.584            3.82e-01
               0.612            3.78e-01
               0.639            3.75e-01
               0.666            3.72e-01
*DEFINE_CURVE
$#Triaxiality vs. Failure Plastic Strain
$     LCID      SIDR      SCLA      SCLO      OFFA      OFFO    DATTYP          
        30         0      1.00      1.00      0.00      0.00         0         0
$                 A1                  O1
              -0.666            7.14e-01
              -0.639            6.98e-01
              -0.612            6.83e-01
              -0.584            6.69e-01
              -0.557            6.55e-01
              -0.530            6.42e-01
              -0.503            6.30e-01
              -0.476            6.18e-01
              -0.449            6.07e-01
              -0.421            5.97e-01
              -0.394            5.86e-01
              -0.367            5.77e-01
              -0.340            5.67e-01
              -0.313            5.58e-01
              -0.285            5.50e-01
              -0.258            5.41e-01
              -0.231            5.33e-01
              -0.204            5.26e-01
              -0.177            5.18e-01
              -0.150            5.11e-01
              -0.122            5.04e-01
              -0.095            4.98e-01
              -0.068            4.91e-01
              -0.041            4.85e-01
              -0.014            4.79e-01
               0.014            4.73e-01
               0.041            4.67e-01
               0.068            4.62e-01
               0.095            4.57e-01
               0.122            4.51e-01
               0.150            4.46e-01
               0.177            4.41e-01
               0.204            4.37e-01
               0.231            4.32e-01
               0.258            4.28e-01
               0.285            4.23e-01
               0.313            4.19e-01
               0.340            4.15e-01
               0.367            4.11e-01
               0.394            4.07e-01
               0.421            4.03e-01
               0.449            3.99e-01
               0.476            3.95e-01
               0.503            3.92e-01
               0.530            3.88e-01
               0.557            3.85e-01
               0.584            3.81e-01
               0.612            3.78e-01
               0.639            3.75e-01
               0.666            3.72e-01
*DEFINE_CURVE
$#Triaxiality vs. Failure Plastic Strain
$     LCID      SIDR      SCLA      SCLO      OFFA      OFFO    DATTYP          
        31         0      1.00      1.00      0.00      0.00         0         0
$                 A1                  O1
              -0.666            7.12e-01
              -0.639            6.96e-01
              -0.612            6.81e-01
              -0.584            6.67e-01
              -0.557            6.54e-01
              -0.530            6.41e-01
              -0.503            6.29e-01
              -0.476            6.17e-01
              -0.449            6.06e-01
              -0.421            5.95e-01
              -0.394            5.85e-01
              -0.367            5.76e-01
              -0.340            5.66e-01
              -0.313            5.57e-01
              -0.285            5.49e-01
              -0.258            5.40e-01
              -0.231            5.33e-01
              -0.204            5.25e-01
              -0.177            5.18e-01
              -0.150            5.10e-01
              -0.122            5.04e-01
              -0.095            4.97e-01
              -0.068            4.90e-01
              -0.041            4.84e-01
              -0.014            4.78e-01
               0.014            4.72e-01
               0.041            4.67e-01
               0.068            4.61e-01
               0.095            4.56e-01
               0.122            4.51e-01
               0.150            4.46e-01
               0.177            4.41e-01
               0.204            4.36e-01
               0.231            4.31e-01
               0.258            4.27e-01
               0.285            4.23e-01
               0.313            4.18e-01
               0.340            4.14e-01
               0.367            4.10e-01
               0.394            4.06e-01
               0.421            4.02e-01
               0.449            3.99e-01
               0.476            3.95e-01
               0.503            3.91e-01
               0.530            3.88e-01
               0.557            3.84e-01
               0.584            3.81e-01
               0.612            3.78e-01
               0.639            3.74e-01
               0.666            3.71e-01
*DEFINE_CURVE
$#Triaxiality vs. Failure Plastic Strain
$     LCID      SIDR      SCLA      SCLO      OFFA      OFFO    DATTYP          
        32         0      1.00      1.00      0.00      0.00         0         0
$                 A1                  O1
              -0.666            7.10e-01
              -0.639            6.95e-01
              -0.612            6.80e-01
              -0.584            6.66e-01
              -0.557            6.52e-01
              -0.530            6.39e-01
              -0.503            6.27e-01
              -0.476            6.16e-01
              -0.449            6.05e-01
              -0.421            5.94e-01
              -0.394            5.84e-01
              -0.367            5.74e-01
              -0.340            5.65e-01
              -0.313            5.56e-01
              -0.285            5.48e-01
              -0.258            5.40e-01
              -0.231            5.32e-01
              -0.204            5.24e-01
              -0.177            5.17e-01
              -0.150            5.10e-01
              -0.122            5.03e-01
              -0.095            4.96e-01
              -0.068            4.90e-01
              -0.041            4.84e-01
              -0.014            4.78e-01
               0.014            4.72e-01
               0.041            4.66e-01
               0.068            4.61e-01
               0.095            4.55e-01
               0.122            4.50e-01
               0.150            4.45e-01
               0.177            4.40e-01
               0.204            4.36e-01
               0.231            4.31e-01
               0.258            4.26e-01
               0.285            4.22e-01
               0.313            4.18e-01
               0.340            4.14e-01
               0.367            4.10e-01
               0.394            4.06e-01
               0.421            4.02e-01
               0.449            3.98e-01
               0.476            3.94e-01
               0.503            3.91e-01
               0.530            3.87e-01
               0.557            3.84e-01
               0.584            3.81e-01
               0.612            3.77e-01
               0.639            3.74e-01
               0.666            3.71e-01
*DEFINE_CURVE
$#Triaxiality vs. Failure Plastic Strain
$     LCID      SIDR      SCLA      SCLO      OFFA      OFFO    DATTYP          
        33         0      1.00      1.00      0.00      0.00         0         0
$                 A1                  O1
              -0.666            7.09e-01
              -0.639            6.93e-01
              -0.612            6.78e-01
              -0.584            6.64e-01
              -0.557            6.51e-01
              -0.530            6.38e-01
              -0.503            6.26e-01
              -0.476            6.15e-01
              -0.449            6.04e-01
              -0.421            5.93e-01
              -0.394            5.83e-01
              -0.367            5.74e-01
              -0.340            5.64e-01
              -0.313            5.55e-01
              -0.285            5.47e-01
              -0.258            5.39e-01
              -0.231            5.31e-01
              -0.204            5.23e-01
              -0.177            5.16e-01
              -0.150            5.09e-01
              -0.122            5.02e-01
              -0.095            4.95e-01
              -0.068            4.89e-01
              -0.041            4.83e-01
              -0.014            4.77e-01
               0.014            4.71e-01
               0.041            4.66e-01
               0.068            4.60e-01
               0.095            4.55e-01
               0.122            4.50e-01
               0.150            4.45e-01
               0.177            4.40e-01
               0.204            4.35e-01
               0.231            4.31e-01
               0.258            4.26e-01
               0.285            4.22e-01
               0.313            4.17e-01
               0.340            4.13e-01
               0.367            4.09e-01
               0.394            4.05e-01
               0.421            4.01e-01
               0.449            3.98e-01
               0.476            3.94e-01
               0.503            3.90e-01
               0.530            3.87e-01
               0.557            3.84e-01
               0.584            3.80e-01
               0.612            3.77e-01
               0.639            3.74e-01
               0.666            3.71e-01
*DEFINE_CURVE
$#Triaxiality vs. Failure Plastic Strain
$     LCID      SIDR      SCLA      SCLO      OFFA      OFFO    DATTYP          
        34         0      1.00      1.00      0.00      0.00         0         0
$                 A1                  O1
              -0.666            7.07e-01
              -0.639            6.92e-01
              -0.612            6.77e-01
              -0.584            6.63e-01
              -0.557            6.50e-01
              -0.530            6.37e-01
              -0.503            6.25e-01
              -0.476            6.14e-01
              -0.449            6.03e-01
              -0.421            5.92e-01
              -0.394            5.82e-01
              -0.367            5.73e-01
              -0.340            5.64e-01
              -0.313            5.55e-01
              -0.285            5.46e-01
              -0.258            5.38e-01
              -0.231            5.30e-01
              -0.204            5.23e-01
              -0.177            5.15e-01
              -0.150            5.08e-01
              -0.122            5.01e-01
              -0.095            4.95e-01
              -0.068            4.89e-01
              -0.041            4.82e-01
              -0.014            4.76e-01
               0.014            4.71e-01
               0.041            4.65e-01
               0.068            4.60e-01
               0.095            4.54e-01
               0.122            4.49e-01
               0.150            4.44e-01
               0.177            4.39e-01
               0.204            4.35e-01
               0.231            4.30e-01
               0.258            4.26e-01
               0.285            4.21e-01
               0.313            4.17e-01
               0.340            4.13e-01
               0.367            4.09e-01
               0.394            4.05e-01
               0.421            4.01e-01
               0.449            3.97e-01
               0.476            3.94e-01
               0.503            3.90e-01
               0.530            3.87e-01
               0.557            3.83e-01
               0.584            3.80e-01
               0.612            3.77e-01
               0.639            3.73e-01
               0.666            3.70e-01
*DEFINE_CURVE
$#Triaxiality vs. Failure Plastic Strain
$     LCID      SIDR      SCLA      SCLO      OFFA      OFFO    DATTYP          
        35         0      1.00      1.00      0.00      0.00         0         0
$                 A1                  O1
              -0.666            7.06e-01
              -0.639            6.91e-01
              -0.612            6.76e-01
              -0.584            6.62e-01
              -0.557            6.49e-01
              -0.530            6.36e-01
              -0.503            6.24e-01
              -0.476            6.13e-01
              -0.449            6.02e-01
              -0.421            5.91e-01
              -0.394            5.82e-01
              -0.367            5.72e-01
              -0.340            5.63e-01
              -0.313            5.54e-01
              -0.285            5.46e-01
              -0.258            5.37e-01
              -0.231            5.30e-01
              -0.204            5.22e-01
              -0.177            5.15e-01
              -0.150            5.08e-01
              -0.122            5.01e-01
              -0.095            4.94e-01
              -0.068            4.88e-01
              -0.041            4.82e-01
              -0.014            4.76e-01
               0.014            4.70e-01
               0.041            4.65e-01
               0.068            4.59e-01
               0.095            4.54e-01
               0.122            4.49e-01
               0.150            4.44e-01
               0.177            4.39e-01
               0.204            4.34e-01
               0.231            4.30e-01
               0.258            4.25e-01
               0.285            4.21e-01
               0.313            4.17e-01
               0.340            4.13e-01
               0.367            4.09e-01
               0.394            4.05e-01
               0.421            4.01e-01
               0.449            3.97e-01
               0.476            3.93e-01
               0.503            3.90e-01
               0.530            3.86e-01
               0.557            3.83e-01
               0.584            3.80e-01
               0.612            3.76e-01
               0.639            3.73e-01
               0.666            3.70e-01
*DEFINE_CURVE
$#Triaxiality vs. Failure Plastic Strain
$     LCID      SIDR      SCLA      SCLO      OFFA      OFFO    DATTYP          
        36         0      1.00      1.00      0.00      0.00         0         0
$                 A1                  O1
              -0.666            7.05e-01
              -0.639            6.90e-01
              -0.612            6.75e-01
              -0.584            6.61e-01
              -0.557            6.48e-01
              -0.530            6.35e-01
              -0.503            6.23e-01
              -0.476            6.12e-01
              -0.449            6.01e-01
              -0.421            5.91e-01
              -0.394            5.81e-01
              -0.367            5.71e-01
              -0.340            5.62e-01
              -0.313            5.53e-01
              -0.285            5.45e-01
              -0.258            5.37e-01
              -0.231            5.29e-01
              -0.204            5.22e-01
              -0.177            5.14e-01
              -0.150            5.07e-01
              -0.122            5.01e-01
              -0.095            4.94e-01
              -0.068            4.88e-01
              -0.041            4.82e-01
              -0.014            4.76e-01
               0.014            4.70e-01
               0.041            4.64e-01
               0.068            4.59e-01
               0.095            4.54e-01
               0.122            4.48e-01
               0.150            4.44e-01
               0.177            4.39e-01
               0.204            4.34e-01
               0.231            4.29e-01
               0.258            4.25e-01
               0.285            4.21e-01
               0.313            4.16e-01
               0.340            4.12e-01
               0.367            4.08e-01
               0.394            4.04e-01
               0.421            4.01e-01
               0.449            3.97e-01
               0.476            3.93e-01
               0.503            3.90e-01
               0.530            3.86e-01
               0.557            3.83e-01
               0.584            3.79e-01
               0.612            3.76e-01
               0.639            3.73e-01
               0.666            3.70e-01
*DEFINE_CURVE
$#Triaxiality vs. Failure Plastic Strain
$     LCID      SIDR      SCLA      SCLO      OFFA      OFFO    DATTYP          
        37         0      1.00      1.00      0.00      0.00         0         0
$                 A1                  O1
              -0.666            7.04e-01
              -0.639            6.89e-01
              -0.612            6.74e-01
              -0.584            6.60e-01
              -0.557            6.47e-01
              -0.530            6.35e-01
              -0.503            6.23e-01
              -0.476            6.11e-01
              -0.449            6.01e-01
              -0.421            5.90e-01
              -0.394            5.80e-01
              -0.367            5.71e-01
              -0.340            5.62e-01
              -0.313            5.53e-01
              -0.285            5.45e-01
              -0.258            5.36e-01
              -0.231            5.29e-01
              -0.204            5.21e-01
              -0.177            5.14e-01
              -0.150            5.07e-01
              -0.122            5.00e-01
              -0.095            4.94e-01
              -0.068            4.87e-01
              -0.041            4.81e-01
              -0.014            4.75e-01
               0.014            4.70e-01
               0.041            4.64e-01
               0.068            4.59e-01
               0.095            4.53e-01
               0.122            4.48e-01
               0.150            4.43e-01
               0.177            4.38e-01
               0.204            4.34e-01
               0.231            4.29e-01
               0.258            4.25e-01
               0.285            4.20e-01
               0.313            4.16e-01
               0.340            4.12e-01
               0.367            4.08e-01
               0.394            4.04e-01
               0.421            4.00e-01
               0.449            3.97e-01
               0.476            3.93e-01
               0.503            3.89e-01
               0.530            3.86e-01
               0.557            3.83e-01
               0.584            3.79e-01
               0.612            3.76e-01
               0.639            3.73e-01
               0.666            3.70e-01
*DEFINE_CURVE
$#Triaxiality vs. Failure Plastic Strain
$     LCID      SIDR      SCLA      SCLO      OFFA      OFFO    DATTYP          
        38         0      1.00      1.00      0.00      0.00         0         0
$                 A1                  O1
              -0.666            7.03e-01
              -0.639            6.88e-01
              -0.612            6.73e-01
              -0.584            6.60e-01
              -0.557            6.47e-01
              -0.530            6.34e-01
              -0.503            6.22e-01
              -0.476            6.11e-01
              -0.449            6.00e-01
              -0.421            5.90e-01
              -0.394            5.80e-01
              -0.367            5.70e-01
              -0.340            5.61e-01
              -0.313            5.53e-01
              -0.285            5.44e-01
              -0.258            5.36e-01
              -0.231            5.28e-01
              -0.204            5.21e-01
