"File Number","u","v","x_c","y_c","u_c","v_c","exx","eyy","exy","e1","e2","gamma"
0,0,0,-0.476745350794,-6.51551980239,0,0,0,0,0,0,0,0
1,0.00433111411892,-0.00391955686496,-0.476745350794,-6.51551980239,0.000688299820811,0.000622983543088,0.000416359260347,2.69207777264e-05,-0.000127272087288,0.000682565902343,-0.000239285867652,-0.154375815051
2,-0.000939911220256,-0.00090836140757,-0.476745350794,-6.51551980239,-0.000149365811486,0.000144355016619,-0.000681647717,3.80470863798e-05,-0.000100420768975,0.000158781126063,-0.000802381750777,-0.804010127398
3,-0.000934630444345,0.000556513380991,-0.476745350794,-6.51551980239,-0.000148524321341,-8.84477605637e-05,0.000133325098998,0.000295624059812,-0.000137038055522,0.000608526680588,-0.000179577523894,-0.206146549274
4,0.00365564116134,-0.00140051241622,-0.476745350794,-6.51551980239,0.000580940763475,0.00022249290925,-8.02696487859e-05,0.000118829271483,0.000102380617915,0.000598348445752,-0.000559788819704,0.131130281875
5,0.00483908688543,-0.00383564025228,-0.476745350794,-6.51551980239,0.000768983391929,0.00060936706939,0.000796697695579,0.000429127918589,-0.000105079825675,0.00121126281911,1.45627921235e-05,-0.276316688015
6,0.00188563231566,-0.000133746002225,-0.476745350794,-6.51551980239,0.000299662141811,2.12301749464e-05,0.00013244604064,0.000227504569816,-0.000632899987163,0.000951911498922,-0.000591960879307,-0.773394330815
7,0.000609557429073,0.00176205406777,-0.476745350794,-6.51551980239,9.68584351979e-05,-0.000280011082027,0.000196054436293,-9.0157451936e-05,-7.13093908388e-05,0.000426266019257,-0.00032036903734,-0.395840358714
8,0.00411649029416,-0.000235534672696,-0.476745350794,-6.51551980239,0.000654178082078,3.74919456234e-05,0.000383059777734,6.98766608601e-05,0.000294788397683,0.000916425814409,-0.000463489372034,0.166143999207
9,0.00225005005685,0.00306432715091,-0.476745350794,-6.51551980239,0.00035756820635,-0.000486971378428,0.000123506054599,0.000913234050067,-8.48456807066e-05,0.00126642935585,-0.000229689249361,-0.0470088493157
10,0.00605869055935,-0.000526665141154,-0.476745350794,-6.51551980239,0.000962825318928,8.36828412916e-05,0.000352008268447,0.000186297818657,-0.000158414451315,0.000821125149652,-0.000282819055759,-0.225546495947
11,0.00555570548556,0.00304911649096,-0.476745350794,-6.51551980239,0.000882862428384,-0.00048447869279,0.000333018159868,0.00033031500552,-0.000349789396712,0.000877116564307,-0.000213783399568,-0.657457660587
12,0.00287509849361,0.00693715016334,-0.476745350794,-6.51551980239,0.000456904482362,-0.00110234122513,0.000442974732759,-0.000107059705832,0.000138232320193,0.000573487192803,-0.00023757216624,0.063721677588
13,0.00573574622154,0.00477099660737,-0.476745350794,-6.51551980239,0.000911496455701,-0.000758181777007,0.000314647483465,2.51662329192e-05,0.000157122780878,0.000525336784341,-0.000185523073828,0.40301029095
14,0.00739913003286,0.00301866780712,-0.476745350794,-6.51551980239,0.00117582230247,-0.000479713781178,0.000244703780914,0.000153710284846,1.70001968627e-05,0.000792415771805,-0.000394001702471,0.109712065864
15,0.00374875142072,0.00938074599838,-0.476745350794,-6.51551980239,0.000595742105536,-0.00149074151489,-0.000710426941631,0.000257158339893,-0.000118184886003,0.00044848951334,-0.00090175811702,-0.495883716075
16,-0.00286311710674,0.00906487031328,-0.476745350794,-6.51551980239,-0.000454988339742,-0.00144051484458,0.000280695089326,0.000140966511686,0.000138003291885,0.000740749876555,-0.00031908827301,0.041627884113
17,-0.00181953871133,0.00657988362966,-0.476745350794,-6.51551980239,-0.000289144557231,-0.00104573873092,0.000295480709877,0.000127900327679,-0.000403916362792,0.000788019135207,-0.000364638094557,-0.641639076681
18,0.00353346086881,0.00465444375157,-0.476745350794,-6.51551980239,0.000561527104577,-0.000739749507489,0.000417917459302,-0.00047517764562,0.00012978813495,0.000655024370085,-0.000712284554322,0.0488065073
19,0.000546149426052,0.0145019984208,-0.476745350794,-6.51551980239,8.68092846014e-05,-0.00230454227995,-0.000387994217839,0.000200114123692,-0.000214828503613,0.000385974430517,-0.000573854523441,-0.724214661788
20,0.0042834879869,0.00826690174162,-0.476745350794,-6.51551980239,0.000680713679259,-0.00131364251426,5.10093538629e-05,0.000214969186434,0.000320427365204,0.000599126018388,-0.000333147480588,0.683672282053
21,0.000600629305797,0.00984967594223,-0.476745350794,-6.51551980239,9.54658418517e-05,-0.00156533539538,0.000423275503445,0.000300968399649,-0.000191233873878,0.000994071158285,-0.000269827253779,-0.340767551398
22,0.00139802785083,0.00627515432641,-0.476745350794,-6.51551980239,0.000222172847927,-0.00099737734564,-0.00017539960773,0.000139853379964,0.000291444379864,0.000587492112808,-0.00062303834237,0.224750743332
23,0.000707804437406,0.0102750410934,-0.476745350794,-6.51551980239,0.000112484321449,-0.00163285819689,0.00073280105781,1.22007766142e-05,-0.000389924627509,0.00101557090818,-0.000270569074343,-0.464839023662
24,0.00123113597429,0.0123377769616,-0.476745350794,-6.51551980239,0.000195662687284,-0.00196075588854,5.04435169129e-05,0.000270678390136,-0.000265470062331,0.000755234512377,-0.000434112605754,-0.424549645542
25,0.00905795881518,0.0106452141023,-0.476745350794,-6.51551980239,0.00143943807282,-0.00169164814559,-0.000183094688904,-0.000451749593601,-0.000316754002909,0.000258823563485,-0.00089366784868,-0.514676731392
26,-0.00025814806933,0.00741144638904,-0.476745350794,-6.51551980239,-4.10274810143e-05,-0.00117769817255,0.000425692999956,0.000158009475326,-0.000205131433005,0.000785532525303,-0.000201830053779,-0.371421384658
27,-0.000871893298062,0.013203963858,-0.476745350794,-6.51551980239,-0.000138564194992,-0.00209827722879,-0.000114761678827,-1.92035393322e-06,-0.000530409196479,0.000539362327793,-0.000656044362363,-0.69068652182
28,0.00569225992706,0.0113033445318,-0.476745350794,-6.51551980239,0.000904577990486,-0.00179625594221,0.000767375732165,0.000865510633741,2.51013794263e-05,0.00140081950336,0.000232066850054,0.326553105331
29,0.00233178345183,0.00913912998401,-0.476745350794,-6.51551980239,0.000370553034945,-0.00145228301451,-6.07831404341e-05,0.000481370816465,-4.26281898641e-05,0.000689642015351,-0.000269054338622,-0.00900532315661
30,0.00227980757712,0.0127755701333,-0.476745350794,-6.51551980239,0.000362273774871,-0.00203016091927,0.000207495771574,0.000167717477687,0.000215022359766,0.000653738318067,-0.000278525070838,0.0235586820017
31,0.00445727917428,0.0165430877994,-0.476745350794,-6.51551980239,0.000708332408881,-0.00262894681301,0.000217111637593,0.000301482985194,-0.00030491731424,0.000731013747882,-0.000212419129276,-0.549423697554
32,0.00534324124891,0.0145482391492,-0.476745350794,-6.51551980239,0.000849122216846,-0.00231186769536,0.000385951619951,0.000110782052754,-0.000342269884176,0.000679892124331,-0.000183158456751,-0.569186128207
33,0.00955657462439,0.0113850814077,-0.476745350794,-6.51551980239,0.00151867394887,-0.0018092619625,0.00074628027275,0.000275460627442,-6.94262007993e-05,0.00116995100841,-0.000148210106389,-0.588982485747
34,0.00750727194501,0.015489706702,-0.476745350794,-6.51551980239,0.0011930251865,-0.00246151330229,-0.000101330568303,-2.58653198499e-05,-0.000215047314889,0.000316490957223,-0.00044368684264,-0.585248089024
35,0.0089559798665,0.018801017837,-0.476745350794,-6.51551980239,0.00142324413936,-0.00298772321243,7.28449618036e-05,-0.000138473294924,-0.000204351380601,0.000387171206178,-0.00045279953755,-0.502606252333
36,0.00979357183408,0.0157383363205,-0.476745350794,-6.51551980239,0.0015563630168,-0.00250114183566,0.00037326148254,-0.000186423800948,-0.000291053420395,0.000683673435942,-0.000496835758323,-0.424934123285
37,0.0142346156743,0.0179206359614,-0.476745350794,-6.51551980239,0.00226210524586,-0.00284787876002,-2.83694606866e-05,0.00017202660043,0.000115205856875,0.00056717543662,-0.000423518301998,0.056072635778
38,0.00749315997519,0.0178095204929,-0.476745350794,-6.51551980239,0.00119078474552,-0.0028302265087,0.000307823364245,0.000306124169456,-6.88422901317e-05,0.000851356203874,-0.00023740866438,-0.094842075227
39,0.00864688701134,0.0200808244184,-0.476745350794,-6.51551980239,0.00137411544707,-0.00319108858801,0.000833960998998,0.000123377397102,4.16482289708e-05,0.000966029335404,-8.69093566978e-06,0.128702354096
40,0.0119553006488,0.0136186841947,-0.476745350794,-6.51551980239,0.00189988022472,-0.00216423998989,-0.000415547680897,-5.65688024204e-05,-0.000379510656613,0.000352975280859,-0.0008250917653,-0.943722847589
41,0.0198208071427,0.0174962065925,-0.476745350794,-6.51551980239,0.00314983219646,-0.00278044072993,-0.000119633892724,9.51973131987e-05,-0.000149555366802,0.000503535707782,-0.000527972284812,-0.605170696049
42,0.0176802030423,0.021784285116,-0.476745350794,-6.51551980239,0.00280964917776,-0.00346189203438,0.000192416942663,-5.0884217293e-05,1.1831626967e-05,0.000562053257479,-0.000420520535413,0.277378351353
43,0.0223530133294,0.0168270073278,-0.476745350794,-6.51551980239,0.00355222838657,-0.00267395071238,-0.000411310782555,0.000425024507269,-0.000327752409472,0.000815092944589,-0.000801379213623,-0.27296746405
44,0.0219106133934,0.0235853830834,-0.476745350794,-6.51551980239,0.00348194157922,-0.00374807547566,-0.000165293559816,-0.000323561992204,7.5004342081e-05,0.000148791255441,-0.000637646801812,-0.0257832120316
45,0.0288005947832,0.0199957710572,-0.476745350794,-6.51551980239,0.0045768535131,-0.00317760778952,0.000394714297453,0.000587922388574,-0.000267092206766,0.00110129409454,-0.000118657411626,-0.331379696023
46,0.0252005772932,0.0213567117959,-0.476745350794,-6.51551980239,0.00400475583969,-0.00339391138698,-0.000867263555898,6.98336591071e-05,-0.000273735562638,0.000249278369373,-0.00104670826021,-0.686632749292
47,0.0295413526921,0.0221565105086,-0.476745350794,-6.51551980239,0.00469455637129,-0.00352115677531,0.000172194956029,-2.91361408666e-05,-0.000244426786697,0.000669028682802,-0.000525969867397,-0.13100466264
48,0.0282978576305,0.0203913959375,-0.476745350794,-6.51551980239,0.00449696055931,-0.00324036568151,-0.000669070962157,0.000503095191008,-7.96379838162e-05,0.000745815280507,-0.000911791051797,-0.0902862448792
49,0.0253474986054,0.0252400951825,-0.476745350794,-6.51551980239,0.00402811200194,-0.00401104475417,-0.000646004552012,9.54413473225e-05,0.000120043112349,0.00027483690848,-0.000825400106239,0.137096490893
50,0.0315302909096,0.0204386033795,-0.476745350794,-6.51551980239,0.00501062652223,-0.00324799633631,-0.000397616943786,0.000376524139132,0.000327122746008,0.000838327954612,-0.000859420763686,0.314035113627
51,0.0369155924194,0.0279251399378,-0.476745350794,-6.51551980239,0.00586644886387,-0.00443768312086,-0.000229771877145,0.000385782885174,-0.000329957108365,0.000795840234685,-0.000639829231761,-0.373690685244
52,0.0365556477116,0.0281890363504,-0.476745350794,-6.51551980239,0.00580923806573,-0.00447971953512,0.000144078500668,0.000310874312184,-0.000376765964093,0.00106754654716,-0.000612593737499,-0.190527572655
53,0.0431225748303,0.026393912954,-0.476745350794,-6.51551980239,0.00685283170127,-0.0041943330943,-0.000417211777019,0.000309770762086,-2.8831434558e-05,0.000763809859144,-0.000871250885307,0.350104478579
54,0.0359558390734,0.0228524214491,-0.476745350794,-6.51551980239,0.0057139205928,-0.00363159778971,-0.00102464749686,0.000535764850996,-0.000254666138619,0.000850672028127,-0.00133955467195,-0.593602975358
55,0.0393321347013,0.0282424792543,-0.476745350794,-6.51551980239,0.00625045513539,-0.00448811324753,0.000166104693658,0.000426350869165,-0.000295227840051,0.000969533029137,-0.000377077472838,-0.440608537746
56,0.0430977067331,0.027067301111,-0.476745350794,-6.51551980239,0.00684887648827,-0.00430138267567,-0.00099621371554,0.000578684246809,-0.000527467027229,0.000839977600097,-0.00125750706334,-1.2147737754
57,0.0447925690145,0.0277816365714,-0.476745350794,-6.51551980239,0.00711821737191,-0.00441501158619,-0.000301256931977,0.000482934260845,-0.000228312496207,0.000816346206104,-0.000634668869743,-0.0669909680874
58,0.0488638480721,0.0344805165187,-0.476745350794,-6.51551980239,0.00776519298951,-0.00547945390006,-0.000581706172388,0.000192827829848,-0.000262189307199,0.000747354440143,-0.00113623277871,-0.0757703545367
59,0.0471726776967,0.028589513511,-0.476745350794,-6.51551980239,0.00749645405449,-0.00454318961918,-0.000757371716168,4.22981676909e-05,-1.01218259839e-05,0.000286615485919,-0.00100168903508,0.0174102549884
60,0.0497557347237,0.0315771062852,-0.476745350794,-6.51551980239,0.00790694299141,-0.00501798586822,-0.00135884775777,-4.40771313965e-05,0.000143668658213,0.000210112262187,-0.00161303715232,0.505341385993
61,0.0500954735204,0.0309393449485,-0.476745350794,-6.51551980239,0.00796092771502,-0.00491680338542,-0.000738614250756,0.000617622119838,-0.000184587712398,0.000941122941293,-0.00106211506596,0.0874560620714
62,0.0524824337734,0.0265172510548,-0.476745350794,-6.51551980239,0.00834024332177,-0.00421405405334,-0.000988802970938,0.000556863375191,-0.000213547985679,0.000933660654291,-0.00136560025292,-0.0911951910678
63,0.0542496683636,0.0331315583829,-0.476745350794,-6.51551980239,0.00862108738409,-0.00526515122379,-0.000821540822223,9.32195651941e-05,-2.02982974369e-05,0.00061732754785,-0.00134564879892,0.198960838279
64,0.0531886845853,0.0368394184324,-0.476745350794,-6.51551980239,0.00845247111609,-0.00585437336305,-0.000801386922583,0.000355029026956,-0.000650984495026,0.000834672863211,-0.00128103075889,-0.665079437353
65,0.0512704422333,0.0342565640885,-0.476745350794,-6.51551980239,0.00814764137165,-0.00544382720841,-0.00102309362316,0.000527456553437,-0.000139510029806,0.00074393459251,-0.00123957166511,-0.334101495668
66,0.0526715406848,0.0308270909745,-0.476745350794,-6.51551980239,0.00837030170577,-0.00489889681453,-0.00122944238347,-0.000136510039414,-0.000237446159279,0.00029454107634,-0.00166049350454,-0.0731365704661
67,0.0472568854481,0.0295290563067,-0.476745350794,-6.51551980239,0.00750982043027,-0.00469261476847,-0.00139314895872,0.000173902763703,-0.000510769946581,0.000506354847469,-0.00172560104845,-1.0212678089
68,0.0481409759788,0.0349055105638,-0.476745350794,-6.51551980239,0.00765033044374,-0.00554694279286,-0.00148013785816,0.000327220589508,-0.000448250519186,0.000484190256538,-0.00163710752725,-1.2088972697
69,0.050696587698,0.0366149888654,-0.476745350794,-6.51551980239,0.0080564635174,-0.00581869580604,-0.00138355315728,0.000702241981872,-0.000536442468306,0.00102416694248,-0.0017054781301,-0.79810347679
70,0.0536913676383,0.0348339132326,-0.476745350794,-6.51551980239,0.00853237681338,-0.00553558161401,-0.00112791920602,0.000193612806111,-0.000284011133725,0.000521949704975,-0.00145625609099,-0.309133071605
71,0.0498037304912,0.0374124262586,-0.476745350794,-6.51551980239,0.00791456940636,-0.00594534773471,-0.00072531141969,0.000139305495849,-3.19828496384e-05,0.000607784812756,-0.00119379074744,0.187779225875
72,0.0528691888793,0.0332869287919,-0.476745350794,-6.51551980239,0.0084017209344,-0.00528980669821,-0.00102526418146,0.000814030026933,-0.000159055681766,0.000940300780674,-0.0011515349366,-0.513572013357
73,0.0510311135176,0.0383787004381,-0.476745350794,-6.51551980239,0.00810960253336,-0.00609885950872,-0.000782810409695,0.000446090851079,-0.000358324977102,0.000779061246471,-0.00111578080029,-0.251087490808
74,0.0505840335264,0.0366956619416,-0.476745350794,-6.51551980239,0.00803858660199,-0.0058315153123,-0.00105848904382,-0.000230834906713,0.000126476871002,0.00024366411409,-0.00153298804824,0.32050139309
75,0.0550345354876,0.036379159617,-0.476745350794,-6.51551980239,0.00874581894596,-0.0057812038796,-0.000800339630402,0.000383962844021,-8.66226040149e-05,0.000816337470783,-0.00123271426046,0.160686368377
76,0.046897649231,0.032682600125,-0.476745350794,-6.51551980239,0.00745274733192,-0.00519369438191,-0.00158265100476,0.000235757035081,-0.000585304068733,0.000702014798726,-0.00204890876723,-1.01043341688
77,0.0531337337008,0.0383349434974,-0.476745350794,-6.51551980239,0.00844376159578,-0.00609189016953,-0.00108133080772,0.000264692482548,-0.000131100859664,0.000526646989026,-0.00134328530488,-0.123241422529
78,0.0532810417219,0.0412035452111,-0.476745350794,-6.51551980239,0.00846716012949,-0.00654789807366,-0.000696312864974,0.000355201856164,8.48965980488e-06,0.000788884157678,-0.00112999517545,-0.0552657574311
79,0.0476606672669,0.0428131415111,-0.476745350794,-6.51551980239,0.00757400269809,-0.00680364367155,-0.00102992346546,0.000274784980441,-9.44793061722e-05,0.00047621048608,-0.00123134896238,-0.34447021673
80,0.0513235047798,0.0421013928807,-0.476745350794,-6.51551980239,0.00815607958605,-0.00669052344389,-0.00117152257531,0.000386030597234,-0.00015617030718,0.000734839702071,-0.00152033168279,0.200340802019
81,0.0503164070652,0.0358036687285,-0.476745350794,-6.51551980239,0.00799603932179,-0.00568972080067,-0.00101346470801,0.000175661420405,-6.49973223002e-05,0.000427804513321,-0.00126560781344,-0.09400323943
