"File Number","u","v","x_c","y_c","u_c","v_c","exx","eyy","exy","e1","e2","gamma"
0,0,0,0.476745353295,-1.58915117208,0,0,0,0,0,0,0,0
1,0.00179408348949,0.000817217036354,0.476745353295,-1.58915117208,0.000285104839029,-0.000129859430991,0.000253744877271,-0.00020992733537,-6.17617517461e-05,0.000447311801738,-0.000403494259968,-0.0824879526164
2,-0.00110736024802,-0.00015006969904,0.476745353295,-1.58915117208,-0.000175975972004,2.3855353349e-05,-4.68915557043e-06,-3.85720803919e-06,-3.17772487466e-06,0.000377186555342,-0.000385732918706,0.165595690515
3,-0.000262016606809,-9.92052154868e-05,0.476745353295,-1.58915117208,-4.16348595908e-05,1.57615394793e-05,0.000288072407224,1.63993931904e-05,-0.000108307142072,0.000614474111003,-0.000310002309056,-0.142191540535
4,-0.0011291841771,0.00197990228962,0.476745353295,-1.58915117208,-0.00017943266467,-0.000314645606954,0.000218201591891,-7.07467059546e-06,-6.88520587027e-05,0.000562266789174,-0.000351139867129,-0.0386178482943
5,0.000329542228447,0.00262351641582,0.476745353295,-1.58915117208,5.23711411763e-05,-0.000416924632918,8.68305266815e-05,-0.000112888702374,-0.000167432607477,0.000485505949837,-0.00051156412586,-0.121681051153
6,4.17542861059e-05,0.00630431917591,0.476745353295,-1.58915117208,6.63588515146e-06,-0.00100186080853,0.000236562058295,-0.000114022497094,-0.00012777844355,0.000604717742732,-0.000482178181415,-0.110657150326
7,0.00239575614962,0.00756389142919,0.476745353295,-1.58915117208,0.000380715978004,-0.00120203181517,0.000152389950719,-5.29423837919e-05,1.22755989034e-05,0.000602361157543,-0.000502913589406,0.105220612842
8,0.00088878691656,0.00367400960945,0.476745353295,-1.58915117208,0.000141244443333,-0.000583846272202,0.000226270485022,-7.02418649244e-05,-3.08904511045e-05,0.000607991452617,-0.000451962834868,0.0450876976151
9,0.000722955785705,0.00359416281065,0.476745353295,-1.58915117208,0.000114886976616,-0.000571204487235,0.000261671014273,-8.72320620606e-05,-8.82977386713e-05,0.000508242916666,-0.000333803965018,-0.00312959111603
10,0.000178863132471,0.00625133314833,0.476745353295,-1.58915117208,2.84220673686e-05,-0.000993430516587,0.000300691680119,-8.16120782323e-05,-5.93181191773e-06,0.000662641096927,-0.000443561494173,0.202612942232
11,0.00413463946291,0.00513799335156,0.476745353295,-1.58915117208,0.000657058615169,-0.000816465674297,0.000419627166871,-6.0409473755e-05,-8.92788988773e-05,0.000733899401501,-0.000374681706573,-0.0793222078877
12,0.00202476581302,0.00695759382671,0.476745353295,-1.58915117208,0.000321771129772,-0.00110568325273,-7.44538981906e-05,-5.78134976178e-05,-0.000145361321013,0.000520427234321,-0.000652694629758,-0.124856762585
13,0.00459004773263,0.00831483420984,0.476745353295,-1.58915117208,0.000729423352716,-0.00132133966583,0.000256828497872,-6.77048949817e-05,-0.000168521033121,0.000590030509444,-0.000400906907339,-0.183991355994
14,0.000365396946663,0.01126114218,0.476745353295,-1.58915117208,5.806753204e-05,-0.00178958119265,0.000186379670017,-6.18415937861e-06,-0.000204307849551,0.000676863969905,-0.000496668461005,-0.252251948286
15,0.00476931437645,0.00932986216563,0.476745353295,-1.58915117208,0.000757913081837,-0.00148264537207,0.000304451525736,-9.71562837407e-05,-0.000116055887826,0.000578159171243,-0.00037086393082,-0.113870635753
16,0.00304619771729,0.0115211340007,0.476745353295,-1.58915117208,0.000484087647887,-0.00183091705911,0.000308035358394,-1.73880064679e-05,-0.000134919286167,0.000735432122644,-0.000444784771565,0.0727465423446
17,0.00344792954408,0.0127688345761,0.476745353295,-1.58915117208,0.000547922889073,-0.00202910210308,0.000332743082629,-3.74173177292e-05,-0.000204254482697,0.000604990399476,-0.000309664635556,-0.291671134141
18,0.00479812958592,0.0157572611011,0.476745353295,-1.58915117208,0.000762495338386,-0.00250404581173,0.000285664806321,-0.000100867558786,-3.69462273497e-05,0.000563442371226,-0.000378645123765,-0.030340711681
19,0.00478943700881,0.01064364645,0.476745353295,-1.58915117208,0.000761112387519,-0.0016914459989,0.000331241885907,7.08600554261e-05,-4.15482178259e-05,0.000701238548087,-0.000299136609035,0.0297287199976
20,0.00445914166467,0.0134544721567,0.476745353295,-1.58915117208,0.000708628783095,-0.00213811438566,-1.24216622381e-05,-0.000133826745427,-2.44335673456e-05,0.000472604518705,-0.000618852926261,0.0013803232582
21,0.00220675401031,0.0155634478035,0.476745353295,-1.58915117208,0.000350686942767,-0.00247327798096,0.000550690924439,-5.71812014022e-05,-0.000174940561473,0.000836471152853,-0.000342961429736,-0.124765638665
22,0.00114854470317,0.0133586122212,0.476745353295,-1.58915117208,0.000182529563444,-0.00212286488693,0.000293311418463,-0.000165022211356,-0.000149761582807,0.000526629805567,-0.000398340598965,-0.123943485225
23,0.00203136627943,0.0112421758104,0.476745353295,-1.58915117208,0.000322819885545,-0.00178654921704,0.000390497301306,-6.04807586398e-06,-9.22166879508e-05,0.000640231040997,-0.000255781814488,-0.195908111029
24,-0.00172721031578,0.0179406302447,0.476745353295,-1.58915117208,-0.000274476908813,-0.00285105569882,0.000109009435556,-7.06863859277e-05,-0.000176498823261,0.000621090235534,-0.000582767188934,-0.308960169889
25,0.00225924857631,0.0186211469409,0.476745353295,-1.58915117208,0.000359037689242,-0.00295914998165,0.000234523924721,-5.5526904356e-05,-7.29686273757e-05,0.000677479528562,-0.000498482512102,-0.156298937941
26,0.00207297492275,0.0169923929259,0.476745353295,-1.58915117208,0.000329425598406,-0.0027003546014,0.000287904790138,-3.03511254605e-05,-0.00023280094995,0.000719299194222,-0.000461745531578,-0.161102413258
27,0.000690161407549,0.0176968461692,0.476745353295,-1.58915117208,0.000109675645573,-0.00281232937942,0.000498472696324,-7.4448515802e-05,-5.2402566588e-05,0.000793277253427,-0.000369253073822,0.0960522971339
28,0.00211111868637,0.0156535383975,0.476745353295,-1.58915117208,0.000335500984015,-0.00248758204733,0.000242612596464,-0.000115249446592,-0.000202884235383,0.000492699175531,-0.000365336025847,-0.155563438821
29,0.00241003432328,0.0145288162964,0.476745353295,-1.58915117208,0.000382996360048,-0.00230885800279,0.000245539990759,-0.000109772114368,-0.000174996004166,0.000513519153399,-0.000377751277234,-0.230592086689
30,0.00518568843695,0.0191254262716,0.476745353295,-1.58915117208,0.000824082196321,-0.00303936577227,0.000465780187507,-8.27113521986e-05,-0.000154662535279,0.00077906415584,-0.000395995323209,-0.166511092629
